Date, MaxTemperature, MinTemperature, AvgTemperature
1/1/2009,34,17,25.5
1/2/2009,40,25,32.5
1/3/2009,41,24,32.5
1/4/2009,46,20,33
1/5/2009,29,15,22
1/6/2009,30,22,26
1/7/2009,28,18,23
1/8/2009,26,12,19
1/9/2009,43,17,30
1/10/2009,34,20,27
1/11/2009,28,18,23
1/12/2009,34,21,27.5
1/13/2009,33,6,19.5
1/14/2009,26,-3,11.5
1/15/2009,-3,-14,-8.5
1/16/2009,9,-17,-4
1/17/2009,32,6,19
1/18/2009,24,12,18
1/19/2009,21,7,14
1/20/2009,19,3,11
1/21/2009,32,1,16.5
1/22/2009,44,15,29.5
1/23/2009,37,19,28
1/24/2009,19,5,12
1/25/2009,11,5,8
1/26/2009,18,10,14
1/27/2009,19,15,17
1/28/2009,17,1,9
1/29/2009,29,12,20.5
1/30/2009,20,1,10.5
1/31/2009,39,-6,16.5
2/1/2009,41,25,33
2/2/2009,31,10,20.5
2/3/2009,21,2,11.5
2/4/2009,17,-1,8
2/5/2009,25,-2,11.5
2/6/2009,44,16,30
2/7/2009,59,41,50
2/8/2009,44,30,37
2/9/2009,62,32,47
2/10/2009,62,48,55
2/11/2009,59,36,47.5
2/12/2009,49,30,39.5
2/13/2009,45,24,34.5
2/14/2009,33,25,29
2/15/2009,33,22,27.5
2/16/2009,36,18,27
2/17/2009,39,23,31
2/18/2009,44,27,35.5
2/19/2009,27,15,21
2/20/2009,31,13,22
2/21/2009,36,20,28
2/22/2009,29,12,20.5
2/23/2009,33,12,22.5
2/24/2009,42,21,31.5
2/25/2009,59,29,44
2/26/2009,57,36,46.5
2/27/2009,45,24,34.5
2/28/2009,32,21,26.5
3/1/2009,29,15,22
3/2/2009,27,12,19.5
3/3/2009,32,10,21
3/4/2009,50,21,35.5
3/5/2009,67,34,50.5
3/6/2009,72,49,60.5
3/7/2009,69,40,54.5
3/8/2009,53,33,43
3/9/2009,52,32,42
3/10/2009,68,41,54.5
3/11/2009,41,23,32
3/12/2009,30,17,23.5
3/13/2009,43,20,31.5
3/14/2009,55,29,42
3/15/2009,62,33,47.5
3/16/2009,68,44,56
3/17/2009,73,37,55
3/18/2009,65,43,54
3/19/2009,54,29,41.5
3/20/2009,50,24,37
3/21/2009,62,38,50
3/22/2009,57,35,46
3/23/2009,68,49,58.5
3/24/2009,75,50,62.5
3/25/2009,56,41,48.5
3/26/2009,59,40,49.5
3/27/2009,59,34,46.5
3/28/2009,46,31,38.5
3/29/2009,42,31,36.5
3/30/2009,57,27,42
3/31/2009,56,35,45.5
4/1/2009,58,34,46
4/2/2009,66,41,53.5
4/3/2009,53,37,45
4/4/2009,59,31,45
4/5/2009,54,32,43
4/6/2009,39,30,34.5
4/7/2009,47,29,38
4/8/2009,56,29,42.5
4/9/2009,58,31,44.5
4/10/2009,47,35,41
4/11/2009,54,33,43.5
4/12/2009,59,31,45
4/13/2009,47,39,43
4/14/2009,42,38,40
4/15/2009,56,35,45.5
4/16/2009,66,40,53
4/17/2009,72,42,57
4/18/2009,71,47,59
4/19/2009,71,47,59
4/20/2009,58,41,49.5
4/21/2009,48,36,42
4/22/2009,66,34,50
4/23/2009,71,40,55.5
4/24/2009,81,55,68
4/25/2009,82,61,71.5
4/26/2009,82,62,72
4/27/2009,76,60,68
4/28/2009,60,50,55
4/29/2009,69,52,60.5
4/30/2009,72,59,65.5
5/1/2009,63,46,54.5
5/2/2009,64,46,55
5/3/2009,68,46,57
5/4/2009,71,48,59.5
5/5/2009,73,51,62
5/6/2009,69,56,62.5
5/7/2009,80,55,67.5
5/8/2009,70,56,63
5/9/2009,68,51,59.5
5/10/2009,69,44,56.5
5/11/2009,69,47,58
5/12/2009,72,45,58.5
5/13/2009,72,54,63
5/14/2009,71,52,61.5
5/15/2009,77,51,64
5/16/2009,62,47,54.5
5/17/2009,63,42,52.5
5/18/2009,68,42,55
5/19/2009,77,47,62
5/20/2009,82,52,67
5/21/2009,85,54,69.5
5/22/2009,86,63,74.5
5/23/2009,85,61,73
5/24/2009,86,61,73.5
5/25/2009,69,61,65
5/26/2009,81,62,71.5
5/27/2009,81,66,73.5
5/28/2009,68,58,63
5/29/2009,80,56,68
5/30/2009,82,54,68
5/31/2009,80,56,68
6/1/2009,91,60,75.5
6/2/2009,84,61,72.5
6/3/2009,64,51,57.5
6/4/2009,72,49,60.5
6/5/2009,79,50,64.5
6/6/2009,80,57,68.5
6/7/2009,82,59,70.5
6/8/2009,82,67,74.5
6/9/2009,79,62,70.5
6/10/2009,85,64,74.5
6/11/2009,77,62,69.5
6/12/2009,79,60,69.5
6/13/2009,83,66,74.5
6/14/2009,85,63,74
6/15/2009,81,66,73.5
6/16/2009,82,68,75
6/17/2009,89,69,79
6/18/2009,89,67,78
6/19/2009,93,72,82.5
6/20/2009,90,71,80.5
6/21/2009,90,76,83
6/22/2009,94,75,84.5
6/23/2009,95,77,86
6/24/2009,97,75,86
6/25/2009,92,74,83
6/26/2009,91,69,80
6/27/2009,91,66,78.5
6/28/2009,81,64,72.5
6/29/2009,82,60,71
6/30/2009,75,58,66.5
7/1/2009,69,60,64.5
7/2/2009,75,61,68
7/3/2009,80,59,69.5
7/4/2009,67,62,64.5
7/5/2009,80,62,71
7/6/2009,83,61,72
7/7/2009,84,63,73.5
7/8/2009,73,60,66.5
7/9/2009,81,60,70.5
7/10/2009,85,64,74.5
7/11/2009,82,67,74.5
7/12/2009,78,63,70.5
7/13/2009,83,62,72.5
7/14/2009,80,58,69
7/15/2009,83,65,74
7/16/2009,82,61,71.5
7/17/2009,73,59,66
7/18/2009,73,57,65
7/19/2009,75,58,66.5
7/20/2009,79,56,67.5
7/21/2009,80,57,68.5
7/22/2009,76,60,68
7/23/2009,81,61,71
7/24/2009,85,58,71.5
7/25/2009,80,63,71.5
7/26/2009,81,61,71
7/27/2009,83,61,72
7/28/2009,87,66,76.5
7/29/2009,79,61,70
7/30/2009,79,58,68.5
7/31/2009,80,60,70
8/1/2009,77,56,66.5
8/2/2009,77,56,66.5
8/3/2009,82,57,69.5
8/4/2009,78,64,71
8/5/2009,81,62,71.5
8/6/2009,80,58,69
8/7/2009,77,60,68.5
8/8/2009,90,64,77
8/9/2009,91,74,82.5
8/10/2009,85,67,76
8/11/2009,85,67,76
8/12/2009,81,62,71.5
8/13/2009,84,56,70
8/14/2009,86,62,74
8/15/2009,88,62,75
8/16/2009,90,66,78
8/17/2009,87,67,77
8/18/2009,83,66,74.5
8/19/2009,83,65,74
8/20/2009,78,62,70
8/21/2009,76,58,67
8/22/2009,70,57,63.5
8/23/2009,74,59,66.5
8/24/2009,77,54,65.5
8/25/2009,81,55,68
8/26/2009,83,56,69.5
8/27/2009,87,64,75.5
8/28/2009,73,64,68.5
8/29/2009,73,53,63
8/30/2009,67,52,59.5
8/31/2009,70,47,58.5
9/1/2009,73,50,61.5
9/2/2009,76,52,64
9/3/2009,81,57,69
9/4/2009,80,59,69.5
9/5/2009,75,59,67
9/6/2009,78,63,70.5
9/7/2009,79,60,69.5
9/8/2009,79,59,69
9/9/2009,77,62,69.5
9/10/2009,82,61,71.5
9/11/2009,81,61,71
9/12/2009,80,57,68.5
9/13/2009,79,56,67.5
9/14/2009,82,55,68.5
9/15/2009,83,59,71
9/16/2009,81,58,69.5
9/17/2009,77,52,64.5
9/18/2009,79,51,65
9/19/2009,80,57,68.5
9/20/2009,71,57,64
9/21/2009,80,62,71
9/22/2009,78,65,71.5
9/23/2009,80,63,71.5
9/24/2009,69,64,66.5
9/25/2009,65,59,62
9/26/2009,75,56,65.5
9/27/2009,77,50,63.5
9/28/2009,66,51,58.5
9/29/2009,64,49,56.5
9/30/2009,65,47,56
10/1/2009,60,43,51.5
10/2/2009,59,46,52.5
10/3/2009,54,45,49.5
10/4/2009,63,40,51.5
10/5/2009,67,42,54.5
10/6/2009,66,47,56.5
10/7/2009,63,41,52
10/8/2009,52,45,48.5
10/9/2009,52,40,46
10/10/2009,55,33,44
10/11/2009,50,35,42.5
10/12/2009,57,38,47.5
10/13/2009,52,40,46
10/14/2009,47,40,43.5
10/15/2009,43,39,41
10/16/2009,47,38,42.5
10/17/2009,50,39,44.5
10/18/2009,57,31,44
10/19/2009,68,36,52
10/20/2009,72,42,57
10/21/2009,70,47,58.5
10/22/2009,63,49,56
10/23/2009,62,43,52.5
10/24/2009,55,38,46.5
10/25/2009,68,42,55
10/26/2009,60,48,54
10/27/2009,52,46,49
10/28/2009,56,47,51.5
10/29/2009,61,50,55.5
10/30/2009,66,45,55.5
10/31/2009,51,33,42
11/1/2009,57,30,43.5
11/2/2009,66,38,52
11/3/2009,51,32,41.5
11/4/2009,60,38,49
11/5/2009,55,31,43
11/6/2009,63,35,49
11/7/2009,72,49,60.5
11/8/2009,74,44,59
11/9/2009,68,50,59
11/10/2009,55,46,50.5
11/11/2009,58,36,47
11/12/2009,59,30,44.5
11/13/2009,58,30,44
11/14/2009,67,39,53
11/15/2009,56,41,48.5
11/16/2009,44,41,42.5
11/17/2009,46,40,43
11/18/2009,48,40,44
11/19/2009,46,35,40.5
11/20/2009,53,30,41.5
11/21/2009,58,36,47
11/22/2009,60,38,49
11/23/2009,57,37,47
11/24/2009,54,40,47
11/25/2009,48,38,43
11/26/2009,38,31,34.5
11/27/2009,43,28,35.5
11/28/2009,60,29,44.5
11/29/2009,53,39,46
11/30/2009,42,33,37.5
12/1/2009,56,32,44
12/2/2009,41,31,36
12/3/2009,38,22,30
12/4/2009,26,18,22
12/5/2009,35,14,24.5
12/6/2009,37,18,27.5
12/7/2009,34,27,30.5
12/8/2009,37,29,33
12/9/2009,40,12,26
12/10/2009,19,6,12.5
12/11/2009,36,12,24
12/12/2009,41,16,28.5
12/13/2009,40,33,36.5
12/14/2009,49,29,39
12/15/2009,29,11,20
12/16/2009,29,10,19.5
12/17/2009,44,20,32
12/18/2009,43,31,37
12/19/2009,33,29,31
12/20/2009,29,25,27
12/21/2009,34,26,30
12/22/2009,35,29,32
12/23/2009,37,33,35
12/24/2009,43,37,40
12/25/2009,46,22,34
12/26/2009,28,20,24
12/27/2009,26,12,19
12/28/2009,30,14,22
12/29/2009,22,10,16
12/30/2009,32,19,25.5
12/31/2009,33,8,20.5
1/1/2010,13,3,8
1/2/2010,9,-2,3.5
1/3/2010,13,-3,5
1/4/2010,12,1,6.5
1/5/2010,11,-1,5
1/6/2010,18,0,9
1/7/2010,21,10,15.5
1/8/2010,21,6,13.5
1/9/2010,13,-5,4
1/10/2010,18,-8,5
1/11/2010,23,17,20
1/12/2010,28,12,20
1/13/2010,34,7,20.5
1/14/2010,39,22,30.5
1/15/2010,36,29,32.5
1/16/2010,32,28,30
1/17/2010,32,26,29
1/18/2010,33,31,32
1/19/2010,32,26,29
1/20/2010,32,26,29
1/21/2010,33,32,32.5
1/22/2010,36,31,33.5
1/23/2010,44,33,38.5
1/24/2010,48,31,39.5
1/25/2010,31,20,25.5
1/26/2010,20,11,15.5
1/27/2010,29,12,20.5
1/28/2010,24,8,16
1/29/2010,18,8,13
1/30/2010,22,11,16.5
1/31/2010,29,8,18.5
2/1/2010,35,16,25.5
2/2/2010,34,21,27.5
2/3/2010,28,19,23.5
2/4/2010,36,21,28.5
